PSO-NN - Swarm Size Data

SS010
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 10,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 26,Run 27,Run 29,Run 30,Mean
15,0.6456,0.743,0.6837,0.6314,0.7267,0.6244,0.7142,0.6964,0.6678,0.6726,0.6181,0.6445,0.6238,0.703,0.6391,0.5622,0.7466,0.6679,0.7181,0.724,0.7769,0.6255,0.591,0.671586956521739
16,0.6331,0.7148,0.6812,0.6214,0.7166,0.6091,0.7009,0.6842,0.6678,0.672,0.6053,0.6286,0.6119,0.6973,0.6329,0.5436,0.7329,0.6566,0.7012,0.7034,0.7551,0.6193,0.5773,0.6594130434782609
17,0.625,0.7095,0.6766,0.6148,0.7049,0.6076,0.6894,0.6793,0.6601,0.6646,0.5991,0.6277,0.5989,0.6937,0.6208,0.5311,0.7221,0.6498,0.6879,0.6898,0.7261,0.61,0.5577,0.6498478260869566
18,0.6145,0.6897,0.6725,0.6133,0.6946,0.5982,0.6845,0.6707,0.645,0.6609,0.593,0.6243,0.588,0.6825,0.6066,0.5187,0.7095,0.6445,0.686,0.6804,0.7233,0.6014,0.5432,0.6411000000000001
19,0.6058,0.6814,0.6724,0.6046,0.6874,0.586,0.6809,0.6581,0.627,0.6553,0.5779,0.616,0.582,0.6712,0.5987,0.5144,0.7023,0.6403,0.6677,0.6639,0.7138,0.5958,0.5371,0.6321739130434783
20,0.5995,0.6736,0.6698,0.5994,0.6818,0.5775,0.674,0.6514,0.6176,0.648,0.5557,0.6069,0.5792,0.6549,0.596,0.5075,0.6952,0.6351,0.6631,0.6547,0.6997,0.5958,0.5226,0.624304347826087
21,0.5939,0.659,0.6687,0.5925,0.6781,0.5701,0.6645,0.6328,0.6134,0.6443,0.5557,0.5934,0.5763,0.6512,0.5892,0.4917,0.6888,0.6305,0.6496,0.6513,0.6997,0.595,0.5204,0.6178304347826087
22,0.5856,0.6524,0.6687,0.5843,0.6745,0.5668,0.6612,0.6237,0.592,0.6365,0.5524,0.5847,0.5701,0.6442,0.5824,0.4879,0.6587,0.6288,0.6407,0.6456,0.6964,0.5873,0.5185,0.6105826086956523
23,0.5767,0.6463,0.6686,0.5806,0.671,0.56,0.657,0.6145,0.5793,0.6281,0.5519,0.5767,0.5692,0.6427,0.5778,0.481,0.6495,0.6263,0.635,0.6243,0.6928,0.5863,0.5138,0.6047565217391303
24,0.5692,0.6418,0.6641,0.5685,0.6689,0.5563,0.6515,0.6012,0.5789,0.6231,0.549,0.5671,0.5661,0.6344,0.5655,0.4755,0.6495,0.6252,0.6242,0.6147,0.6846,0.5808,0.5123,0.5987999999999999
25,0.5661,0.6394,0.6615,0.564,0.6663,0.5534,0.649,0.594,0.5759,0.6173,0.5467,0.5582,0.5624,0.6323,0.5525,0.4709,0.6408,0.6239,0.6181,0.6089,0.6816,0.5807,0.5079,0.5944260869565218

SS100
Epoch,Run 1,Run 3,Run 4,Run 5,Run 7,Run 9,Run 10,Run 11,Run 12,Run 13,Run 15,Run 17,Run 18,Run 19,Run 20,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 29,Run 30,Mean
